epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.395,1.77973,6.44188,1.79197,0.26043,0.23529,0.21922,0.11916,1.95121,4.89102,2.04807,6e-05,6e-05,6e-05
2,20.0528,1.75534,3.78526,1.83305,0.70624,0.29412,0.345,0.14993,1.87765,4.37541,1.92682,0.000137228,0.000137228,0.000137228
3,21.589,1.7725,3.74705,1.82245,0.1963,0.11765,0.09026,0.04621,2.20645,4.76725,1.98435,0.000211288,0.000211288,0.000211288
4,23.0672,1.82445,3.70657,1.76853,0.20592,0.05882,0.08497,0.04901,2.19671,4.32941,1.98438,0.00028218,0.00028218,0.00028218
5,24.5379,1.92853,4.19429,1.93429,0.20218,0.11765,0.0472,0.01903,2.09716,4.32139,1.97149,0.000349904,0.000349904,0.000349904
6,26.2527,1.82032,2.84345,1.77415,0.48682,0.17647,0.21516,0.12696,2.08103,3.96598,1.84511,0.00041446,0.00041446,0.00041446
7,27.741,1.82925,2.64266,1.77491,0.16058,0.05882,0.03567,0.01118,2.57216,4.9285,2.31213,0.000475848,0.000475848,0.000475848
8,29.2303,1.97363,2.73927,1.95971,0.01577,0.23529,0.01144,0.00438,2.11746,10.1498,2.17754,0.000534068,0.000534068,0.000534068
9,30.7215,1.79743,2.57799,1.76365,0.03826,0.05882,0.01302,0.0042,2.32968,6.31516,2.62067,0.00058912,0.00058912,0.00058912
10,32.14,1.63004,2.45186,1.70582,0.01254,0.29412,0.0095,0.0034,2.22265,23.7971,2.50658,0.000641004,0.000641004,0.000641004
11,33.5902,1.72282,2.39708,1.7,0.39229,0.11765,0.16454,0.07013,2.20486,4.88151,2.07915,0.00068972,0.00068972,0.00068972
12,35.0364,1.73958,2.5463,1.73577,0.04657,0.17647,0.02137,0.0068,2.31001,7.51578,2.16438,0.000735268,0.000735268,0.000735268
13,36.4939,1.79937,2.43635,1.76602,0.06147,0.35294,0.0374,0.00984,2.74575,10.5285,3.13764,0.000777648,0.000777648,0.000777648
14,37.9374,1.86716,2.3333,1.77677,0.07828,0.36984,0.06442,0.01529,2.64016,8.98484,2.94497,0.00081686,0.00081686,0.00081686
15,39.364,1.83411,2.316,1.7813,0.0252,0.35294,0.01986,0.00355,3.07416,35.9892,4.4356,0.000852904,0.000852904,0.000852904
16,40.7809,1.80091,2.07338,1.7096,0.04624,0.29412,0.02426,0.00466,3.28359,17.0762,3.84615,0.00088578,0.00088578,0.00088578
17,42.1908,1.75568,2.04367,1.76135,0.08499,0.29412,0.04286,0.00924,3.09155,5.82308,3.42258,0.000915488,0.000915488,0.000915488
18,43.6254,1.71034,2.13367,1.76694,0.17274,0.06183,0.08139,0.04636,2.82413,4.51316,3.17388,0.000942028,0.000942028,0.000942028
19,45.0149,1.88692,2.4204,1.88837,0.9172,0.11765,0.14299,0.06542,2.84225,3.99403,3.11481,0.0009654,0.0009654,0.0009654
20,46.4244,1.70917,2.0746,1.72969,0.26978,0.29412,0.21193,0.07825,3.11881,5.58568,4.24758,0.000985604,0.000985604,0.000985604
21,47.8404,1.67863,2.12154,1.66235,0.06431,0.29412,0.02915,0.00822,nan,nan,nan,0.00100264,0.00100264,0.00100264
22,49.2466,1.85621,2.17784,1.92993,0.09323,0.11765,0.03489,0.0123,nan,nan,nan,0.00101651,0.00101651,0.00101651
23,50.6774,1.63509,1.93906,1.60419,0.41803,0.05882,0.04949,0.02433,nan,nan,nan,0.00102721,0.00102721,0.00102721
24,52.0642,1.74717,1.92931,1.84508,0.07198,0.23529,0.08319,0.03779,2.60798,5.40879,3.33203,0.00103474,0.00103474,0.00103474
25,53.452,1.56024,1.78948,1.69849,0.01496,0.35294,0.01209,0.00424,2.61019,11.6731,3.00361,0.0010391,0.0010391,0.0010391
26,54.8482,1.61637,1.65619,1.66169,0.01043,0.29412,0.01213,0.00481,2.37255,12.0682,2.39262,0.00101,0.00101,0.00101
27,56.3056,1.581,1.74722,1.61074,0.04277,0.40742,0.02672,0.01123,2.30816,9.62036,2.68633,0.0009704,0.0009704,0.0009704
28,57.7131,1.49725,1.56044,1.49579,0.08979,0.29412,0.05353,0.0199,2.31471,4.35555,2.74264,0.0009308,0.0009308,0.0009308
29,59.1357,1.51439,1.69448,1.58209,0.5195,0.23529,0.28214,0.11604,2.39359,2.50301,2.48699,0.0008912,0.0008912,0.0008912
30,60.5495,1.66259,1.68136,1.67174,0.44843,0.17647,0.22606,0.0957,2.55169,2.8129,2.65699,0.0008516,0.0008516,0.0008516
31,61.9674,1.60344,1.51671,1.6535,0.18263,0.23529,0.18158,0.06459,2.60603,2.73558,2.63207,0.000812,0.000812,0.000812
32,63.4017,1.429,1.3606,1.49159,0.18909,0.29412,0.13141,0.05471,2.44164,2.859,2.32246,0.0007724,0.0007724,0.0007724
33,64.8064,1.58401,1.55263,1.61676,0.29988,0.23529,0.17247,0.07399,2.36444,2.55168,2.32132,0.0007328,0.0007328,0.0007328
34,66.2082,1.63175,1.46264,1.63474,0.62332,0.35294,0.36692,0.11028,2.34574,2.51678,2.34881,0.0006932,0.0006932,0.0006932
35,67.6019,1.4299,1.39889,1.49098,0.32826,0.35294,0.2026,0.07195,2.35876,2.57846,2.42739,0.0006536,0.0006536,0.0006536
36,69.0196,1.55235,1.40368,1.63755,0.38303,0.35294,0.25254,0.09828,2.16659,2.39418,2.28664,0.000614,0.000614,0.000614
37,70.4079,1.35242,1.33594,1.50523,0.38703,0.41176,0.40522,0.13096,2.18233,2.09156,2.29068,0.0005744,0.0005744,0.0005744
38,71.8225,1.29305,1.23565,1.41682,0.35149,0.52941,0.4337,0.14381,2.13732,1.93675,2.22634,0.0005348,0.0005348,0.0005348
39,73.2359,1.42217,1.29964,1.49948,0.45765,0.41176,0.45897,0.18554,2.17732,1.89886,2.26058,0.0004952,0.0004952,0.0004952
